number,part,testPointName,userAnswer,correctAnswer,isCorrect,analyzeUrl
1,Photographs,描述場景題（動作）,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8574
2,Photographs,描述場景題（靜物／方位）,,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8575
3,Photographs,描述對象題（多人）,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8576
4,Photographs,描述場景題（動作）,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8577
5,Photographs,描述場景題（靜物／方位）,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8578
6,Photographs,描述對象題（多人）,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8579
7,Question Response,一般疑問句,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8581
8,Question Response,一般疑問句,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8582
9,Question Response,特殊疑問句,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8583
10,Question Response,一般疑問句,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8584
11,Question Response,否定／反義疑問句,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8585
12,Question Response,陳述句,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8586
13,Question Response,一般疑問句,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8587
14,Question Response,一般疑問句,A,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8588
15,Question Response,選擇疑問句,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8589
16,Question Response,一般疑問句,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8590
17,Question Response,選擇疑問句,B,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8591
18,Question Response,間接疑問句,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8592
19,Question Response,一般疑問句,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8593
20,Question Response,一般疑問句,B,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8594
21,Question Response,否定／反義疑問句,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8595
22,Question Response,一般疑問句,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8596
23,Question Response,選擇疑問句,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8597
24,Question Response,特殊疑問句,C,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8598
25,Question Response,一般疑問句,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8599
26,Question Response,陳述句,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8600
27,Question Response,一般疑問句,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8601
28,Question Response,否定／反義疑問句,C,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8602
29,Question Response,一般疑問句,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8603
30,Question Response,陳述句,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8604
31,Question Response,特殊疑問句,A,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8605
32,Short Conversation,對話主題／目的題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8607
33,Short Conversation,對話細節題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8608
34,Short Conversation,對話細節題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8609
35,Short Conversation,對話主題／目的題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8610
36,Short Conversation,對話細節題,C,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8611
37,Short Conversation,對話細節題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8612
38,Short Conversation,對話主題／目的題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8613
39,Short Conversation,對話細節題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8614
40,Short Conversation,對話細節題,,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8615
41,Short Conversation,對話主題／目的題,D,D,True,https://elitetoeic.online-test.com.tw/analyze/244447/8616
42,Short Conversation,對話細節題,C,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8617
43,Short Conversation,對話細節題,C,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8618
44,Short Conversation,對話細節題,D,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8619
45,Short Conversation,對話涵義判定題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8620
46,Short Conversation,對話涵義判定題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8621
47,Short Conversation,對話細節題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8622
48,Short Conversation,對話細節題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8623
49,Short Conversation,對話主題／目的題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8624
50,Short Conversation,對話細節題,C,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8625
51,Short Conversation,對話細節題,A,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8626
52,Short Conversation,對話細節題,A,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8627
53,Short Conversation,對話細節題,D,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8628
54,Short Conversation,對話主題／目的題,D,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8629
55,Short Conversation,對話細節題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8630
56,Short Conversation,對話細節題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8631
57,Short Conversation,,B,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8632
58,Short Conversation,,D,D,True,https://elitetoeic.online-test.com.tw/analyze/244447/8633
59,Short Conversation,對話涵義判定題,D,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8634
60,Short Conversation,對話涵義判定題,B,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8635
61,Short Conversation,對話細節題,A,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8636
62,Short Conversation,對話細節題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8637
63,Short Conversation,圖表細節題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8638
64,Short Conversation,對話細節題,C,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8639
65,Short Conversation,對話細節題,D,D,True,https://elitetoeic.online-test.com.tw/analyze/244447/8640
66,Short Conversation,對話細節題,A,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8641
67,Short Conversation,圖表細節題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8642
68,Short Conversation,對話細節題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8643
69,Short Conversation,對話涵義判定題,A,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8644
70,Short Conversation,圖表細節題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8645
71,Short Talk,對話主題／目的題,C,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8647
72,Short Talk,對話細節題,B,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8648
73,Short Talk,對話細節題,A,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8649
74,Short Talk,對話主題／目的題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8650
75,Short Talk,對話細節題,A,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8651
76,Short Talk,對話細節題,A,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8652
77,Short Talk,講話對象判定題,D,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8653
78,Short Talk,對話主題／目的題,A,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8654
79,Short Talk,對話細節題,D,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8655
80,Short Talk,對話主題／目的題,C,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8656
81,Short Talk,對話涵義判定題,D,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8657
82,Short Talk,對話細節題,D,D,True,https://elitetoeic.online-test.com.tw/analyze/244447/8658
83,Short Talk,對話細節題,D,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8659
84,Short Talk,對話細節題,D,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8660
85,Short Talk,對話細節題,A,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8661
86,Short Talk,講話對象判定題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8662
87,Short Talk,對話細節題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8663
88,Short Talk,對話涵義判定題,B,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8664
89,Short Talk,對話細節題,D,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8665
90,Short Talk,對話涵義判定題,D,D,True,https://elitetoeic.online-test.com.tw/analyze/244447/8666
91,Short Talk,對話細節題,D,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8667
92,Short Talk,對話主題／目的題,D,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8668
93,Short Talk,對話細節題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8669
94,Short Talk,對話細節題,C,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8670
95,Short Talk,對話主題／目的題,D,D,True,https://elitetoeic.online-test.com.tw/analyze/244447/8671
96,Short Talk,圖表細節題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8672
97,Short Talk,對話細節題,A,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8673
98,Short Talk,對話細節題,C,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8674
99,Short Talk,對話細節題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8675
100,Short Talk,圖表細節題,D,D,True,https://elitetoeic.online-test.com.tw/analyze/244447/8676
101,Incomplete Sentences,字彙題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8678
102,Incomplete Sentences,詞性題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8679
103,Incomplete Sentences,時態題,D,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8680
104,Incomplete Sentences,字彙題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8681
105,Incomplete Sentences,詞性題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8682
106,Incomplete Sentences,字彙題,A,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8683
107,Incomplete Sentences,連接詞題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8684
108,Incomplete Sentences,連接詞題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8685
109,Incomplete Sentences,詞性題,B,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8686
110,Incomplete Sentences,字彙題,A,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8687
111,Incomplete Sentences,介係詞題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8688
112,Incomplete Sentences,詞性題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8689
113,Incomplete Sentences,字彙題,A,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8690
114,Incomplete Sentences,時態題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8691
115,Incomplete Sentences,詞性題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8692
116,Incomplete Sentences,字彙題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8693
117,Incomplete Sentences,連接詞題,A,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8694
118,Incomplete Sentences,詞性題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8695
119,Incomplete Sentences,字彙題,B,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8696
120,Incomplete Sentences,字彙題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8697
121,Incomplete Sentences,字彙題,D,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8698
122,Incomplete Sentences,字彙題,D,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8699
123,Incomplete Sentences,連接詞題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8700
124,Incomplete Sentences,詞性題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8701
125,Incomplete Sentences,字彙題,D,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8702
126,Incomplete Sentences,準動詞題 （不定詞／動名詞／分詞）,D,D,True,https://elitetoeic.online-test.com.tw/analyze/244447/8703
127,Incomplete Sentences,詞性題,C,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8704
128,Incomplete Sentences,字彙題,B,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8705
129,Incomplete Sentences,連接詞題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8706
130,Incomplete Sentences,代名詞題,B,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8707
131,Text Completion,字彙題,A,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8708
132,Text Completion,句子題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8709
133,Text Completion,慣用語題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8710
134,Text Completion,字彙題,A,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8711
135,Text Completion,句子題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8712
136,Text Completion,慣用語題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8713
137,Text Completion,字彙題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8714
138,Text Completion,字彙題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8715
139,Text Completion,慣用語題,D,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8716
140,Text Completion,句子題,D,D,True,https://elitetoeic.online-test.com.tw/analyze/244447/8717
141,Text Completion,字彙題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8718
142,Text Completion,時態題,D,D,True,https://elitetoeic.online-test.com.tw/analyze/244447/8719
143,Text Completion,連接詞題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8720
144,Text Completion,準動詞題 （不定詞／動名詞／分詞）,D,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8721
145,Text Completion,句子題,B,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8722
146,Text Completion,字彙題,A,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8723
147,Reading Comprehension,詢問原因/目的題,D,D,True,https://elitetoeic.online-test.com.tw/analyze/244447/8724
148,Reading Comprehension,判別真偽題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8725
149,Reading Comprehension,詢問細節題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8726
150,Reading Comprehension,詢問細節題,A,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8727
151,Reading Comprehension,詞彙題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8728
152,Reading Comprehension,詢問細節題,D,D,True,https://elitetoeic.online-test.com.tw/analyze/244447/8729
153,Reading Comprehension,推理題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8730
154,Reading Comprehension,詢問細節題,A,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8731
155,Reading Comprehension,詢問原因/目的題,C,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8732
156,Reading Comprehension,詢問細節題,B,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8733
157,Reading Comprehension,詢問細節題,B,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8734
158,Reading Comprehension,判別真偽題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8735
159,Reading Comprehension,詢問原因/目的題,B,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8736
160,Reading Comprehension,推理題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8737
161,Reading Comprehension,詢問原因/目的題,C,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8738
162,Reading Comprehension,詢問細節題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8739
163,Reading Comprehension,詢問細節題,A,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8740
164,Reading Comprehension,詢問細節題,C,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8741
165,Reading Comprehension,詢問原因/目的題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8742
166,Reading Comprehension,詢問細節題,B,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8743
167,Reading Comprehension,句子插入題,B,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8744
168,Reading Comprehension,詢問原因/目的題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8745
169,Reading Comprehension,詢問細節題,B,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8746
170,Reading Comprehension,詢問原因/目的題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8747
171,Reading Comprehension,句子插入題,B,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8748
172,Reading Comprehension,詢問細節題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8749
173,Reading Comprehension,詞彙題,C,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8750
174,Reading Comprehension,詢問細節題,B,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8751
175,Reading Comprehension,詢問細節題,C,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8752
176,Reading Comprehension,詢問細節題,B,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8753
177,Reading Comprehension,詢問細節題,B,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8754
178,Reading Comprehension,詢問細節題,A,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8755
179,Reading Comprehension,判別真偽題,D,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8756
180,Reading Comprehension,詢問細節題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8757
181,Reading Comprehension,判別真偽題,A,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8758
182,Reading Comprehension,詢問原因/目的題,A,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8759
183,Reading Comprehension,詢問細節題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8760
184,Reading Comprehension,推理題,C,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8761
185,Reading Comprehension,判別真偽題,B,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8762
186,Reading Comprehension,詢問細節題,B,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8763
187,Reading Comprehension,詢問原因/目的題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8764
188,Reading Comprehension,詢問細節題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8765
189,Reading Comprehension,詢問細節題,B,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8766
190,Reading Comprehension,詞彙題,C,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8767
191,Reading Comprehension,詢問細節題,C,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8768
192,Reading Comprehension,推理題,B,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8769
193,Reading Comprehension,詢問細節題,C,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8770
194,Reading Comprehension,詢問細節題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8771
195,Reading Comprehension,判別真偽題,A,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8772
196,Reading Comprehension,詢問細節題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8773
197,Reading Comprehension,詢問細節題,B,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8774
198,Reading Comprehension,詢問細節題,C,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8775
199,Reading Comprehension,詢問細節題,C,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8776
200,Reading Comprehension,詢問原因/目的題,B,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8777
